ano,bioma,total_focos
1998,Amazônia,59187
1999,Amazônia,62858
2000,Amazônia,48168
2001,Amazônia,69675
2002,Amazônia,169261
2003,Amazônia,174400
2004,Amazônia,218637
2005,Amazônia,213720
2006,Amazônia,144422
2007,Amazônia,186480
2008,Amazônia,103453
2009,Amazônia,81682
2010,Amazônia,134614
2011,Amazônia,58186
2012,Amazônia,86719
2013,Amazônia,58688
2014,Amazônia,82554
2015,Amazônia,106438
2016,Amazônia,87761
2017,Amazônia,107439
2018,Amazônia,68345
2019,Amazônia,89176
2020,Amazônia,68486
1998,Pampa,216
1999,Pampa,1281
2000,Pampa,211
2001,Pampa,154
2002,Pampa,1121
2003,Pampa,1798
2004,Pampa,1677
2005,Pampa,1138
2006,Pampa,1336
2007,Pampa,1045
2008,Pampa,948
2009,Pampa,1152
2010,Pampa,956
2011,Pampa,931
2012,Pampa,1053
2013,Pampa,801
2014,Pampa,708
2015,Pampa,730
2016,Pampa,1327
2017,Pampa,936
2018,Pampa,742
2019,Pampa,1420
2020,Pampa,1460
1998,Caatinga,9303
1999,Caatinga,6032
2000,Caatinga,8755
2001,Caatinga,18601
2002,Caatinga,25422
2003,Caatinga,32773
2004,Caatinga,29766
2005,Caatinga,26149
2006,Caatinga,18490
2007,Caatinga,29391
2008,Caatinga,23721
2009,Caatinga,16693
2010,Caatinga,21792
2011,Caatinga,16561
2012,Caatinga,16717
2013,Caatinga,9859
2014,Caatinga,9496
2015,Caatinga,15133
2016,Caatinga,13593
2017,Caatinga,11004
2018,Caatinga,11347
2019,Caatinga,14960
2020,Caatinga,3230
1998,Mata Atlântica,5250
1999,Mata Atlântica,11596
2000,Mata Atlântica,7697
2001,Mata Atlântica,5738
2002,Mata Atlântica,25938
2003,Mata Atlântica,44433
2004,Mata Atlântica,28115
2005,Mata Atlântica,23276
2006,Mata Atlântica,24883
2007,Mata Atlântica,29211
2008,Mata Atlântica,20332
2009,Mata Atlântica,13941
2010,Mata Atlântica,20610
2011,Mata Atlântica,17210
2012,Mata Atlântica,14702
2013,Mata Atlântica,11388
2014,Mata Atlântica,15704
2015,Mata Atlântica,14929
2016,Mata Atlântica,17520
2017,Mata Atlântica,15597
2018,Mata Atlântica,11298
2019,Mata Atlântica,18177
2020,Mata Atlântica,12253
1998,Pantanal,1659
1999,Pantanal,8987
2000,Pantanal,2290
2001,Pantanal,6782
2002,Pantanal,12486
2003,Pantanal,3722
2004,Pantanal,8688
2005,Pantanal,12536
2006,Pantanal,3173
2007,Pantanal,9869
2008,Pantanal,4545
2009,Pantanal,5737
2010,Pantanal,8020
2011,Pantanal,3532
2012,Pantanal,7447
2013,Pantanal,3396
2014,Pantanal,1567
2015,Pantanal,4458
2016,Pantanal,5184
2017,Pantanal,5773
2018,Pantanal,1691
2019,Pantanal,10025
2020,Pantanal,15835
1998,Cerrado,47706
1999,Cerrado,43850
2000,Cerrado,34393
2001,Cerrado,44534
2002,Cerrado,87186
2003,Cerrado,84113
2004,Cerrado,93562
2005,Cerrado,85747
2006,Cerrado,56880
2007,Cerrado,137918
2008,Cerrado,58934
2009,Cerrado,35899
2010,Cerrado,133394
2011,Cerrado,61682
2012,Cerrado,90600
2013,Cerrado,44017
2014,Cerrado,65871
2015,Cerrado,75094
2016,Cerrado,58833
2017,Cerrado,66762
2018,Cerrado,39449
2019,Cerrado,63874
2020,Cerrado,40314
